동,골목,건물유형,현관턱_기록,창문_기록,차수설비,골목경사,빗물받이,현관턱_cm,창문하단_cm,차수설비_설치,현관방어_cm,창문방어_cm,실효방어_cm,최약개구부
충훈동,CH-1,다세대,카드 2배 이상,카드 2배 이상,설치,평지,막힘,17.0,17.0,1,47.0,47.0,47.0,현관
충훈동,CH-1,다세대,카드 2배 이상,카드 2배 이상,미설치,평지,막힘,17.0,17.0,0,17.0,17.0,17.0,현관
충훈동,CH-1,다세대,계단 2개,카드 2배,설치,평지,,32.0,17.0,1,62.0,47.0,47.0,창문
충훈동,CH-1,다세대,계단 2개,카드 2배,설치,평지,,32.0,17.0,1,62.0,47.0,47.0,창문
충훈동,CH-1,다세대,카드 1개,카드 한 개 이상,미설치,평지,,8.5,8.5,0,8.5,8.5,8.5,현관
충훈동,CH-1,다세대,카드 1개,카드 한 개 이상,미설치,평지,,8.5,8.5,0,8.5,8.5,8.5,현관
충훈동,CH-1,다세대,카드 1개,카드 3개 이상,미설치,평지,,8.5,25.5,0,8.5,25.5,8.5,현관
충훈동,CH-1,다세대,카드 1개,카드 3개 이상,미설치,평지,,8.5,25.5,0,8.5,25.5,8.5,현관
충훈동,CH-1,다세대,계단 2개,카드 3개 이상,미설치,평지,,32.0,25.5,0,32.0,25.5,25.5,창문
충훈동,CH-1,다세대,계단 2개,카드 3개 이상,미설치,평지,,32.0,25.5,0,32.0,25.5,25.5,창문
충훈동,CH-2,다세대,카드 1개,카드 2개,미설치,평지,,8.5,17.0,0,8.5,17.0,8.5,현관
충훈동,CH-2,다세대,카드 1개,카드 2개,미설치,평지,,8.5,17.0,0,8.5,17.0,8.5,현관
충훈동,CH-2,다세대,카드 2개,카드 3개,미설치,평지,,17.0,25.5,0,17.0,25.5,17.0,현관
충훈동,CH-2,다세대,카드 2개,카드3개,설치,평지,,17.0,25.5,1,47.0,55.5,47.0,현관
충훈동,CH-2,다세대,카드 1개,카드 3개,미설치,평지,,8.5,25.5,0,8.5,25.5,8.5,현관
충훈동,CH-2,다세대,카드 1개,카드 3개,미설치,평지,,8.5,25.5,0,8.5,25.5,8.5,현관
충훈동,CH-3,다세대,카드 2개,카드 3개,설치,평지,,17.0,25.5,1,47.0,55.5,47.0,현관
충훈동,CH-3,다세대,카드 2개,카드 3개,설치,평지,,17.0,25.5,1,47.0,55.5,47.0,현관
충훈동,CH-2,다세대,,카드 2개,설치,평지,,,17.0,1,,47.0,,미확정
충훈동,CH-2,다세대,,카드 2개,미설치,평지,,,17.0,0,,17.0,,미확정
충훈동,CH-3,다세대,카드 1개,카드 1개,설치,평지,,8.5,8.5,1,38.5,38.5,38.5,현관
충훈동,CH-3,다세대,카드 1개,카드 1개,설치,평지,,8.5,8.5,1,38.5,38.5,38.5,현관
충훈동,CH-2,다세대,카드 3개 이상,카드 3개 이상,미설치,평지,,25.5,25.5,0,25.5,25.5,25.5,현관
충훈동,CH-2,다세대,카드 3개 이상,카드 3개 이상,미설치,평지,,25.5,25.5,0,25.5,25.5,25.5,현관
충훈동,CH-2,다세대,카드 3개 이상,카드3개 이상,설치,평지,,25.5,25.5,1,55.5,55.5,55.5,현관
충훈동,CH-2,다세대,카드 3개 이상,카드 3개 이상,설치,평지,,25.5,25.5,1,55.5,55.5,55.5,현관
충훈동,CH-3,다세대,카드 3개 이상,카드 2개,설치,평지,,25.5,17.0,1,55.5,47.0,47.0,창문
충훈동,CH-3,다세대,카드 3개 이상,카드 2개,미설치,평지,,25.5,17.0,0,25.5,17.0,17.0,창문
충훈동,CH-4,다세대,카드 2개,카드 3개,설치,평지,,17.0,25.5,1,47.0,55.5,47.0,현관
충훈동,CH-4,다세대,카드 2,카드 3개,설치,평지,,17.0,25.5,1,47.0,55.5,47.0,현관
충훈동,CH-4,다세대,카드 1개,카드 2개,미설치,오르막,,8.5,17.0,0,8.5,17.0,8.5,현관
충훈동,CH-4,다세대,카드 1개,카드 2개,미설치,오르막,,8.5,17.0,0,8.5,17.0,8.5,현관
충훈동,CH-4,다세대,계단 2개,카드 3개 이상,설치,평지,,32.0,25.5,1,62.0,55.5,55.5,창문
충훈동,CH-4,다세대,계단 2개,카드 3개 이상,미설치,평지,,32.0,25.5,0,32.0,25.5,25.5,창문
