grid_id,cx,cy,max_rank,max_depth_cm,flood_ratio,exposure,priority
G02949,126.932498,37.399016,5.0,150.0,1.0,2.0,2.0
G03839,126.948329,37.409827,4.0,100.0,1.0,1.8,1.8
G03913,126.94946,37.410728,4.0,100.0,1.0,1.8,1.8
G03621,126.94946,37.407125,4.0,100.0,1.0,1.8,1.8
G02904,126.964161,37.398116,4.0,100.0,1.0,1.8,1.8
G03778,126.961899,37.408926,4.0,100.0,1.0,1.8,1.8
G02878,126.93476,37.398116,4.0,100.0,1.0,1.8,1.8
G03767,126.94946,37.408926,4.0,100.0,1.0,1.8,1.8
G03704,126.960768,37.408025,4.0,100.0,1.0,1.8,1.8
G03668,126.92006,37.408025,4.0,100.0,1.0,1.8,1.8
G03956,126.915536,37.411629,4.0,100.0,1.0,1.8,1.8
G04059,126.94946,37.41253,4.0,100.0,1.0,1.8,1.8
G03250,126.942675,37.40262,4.0,100.0,1.0,1.8,1.8
G03022,126.932498,37.399917,4.0,100.0,1.0,1.8,1.8
G02446,126.941545,37.39271,4.0,100.0,1.0,1.8,1.8
G02948,126.931368,37.399016,4.0,100.0,1.0,1.8,1.8
G03324,126.943806,37.403521,4.0,100.0,1.0,1.8,1.8
G02977,126.964161,37.399016,4.0,100.0,1.0,1.8,1.8
G03986,126.94946,37.411629,4.0,100.0,1.0,1.8,1.8
G03888,126.92119,37.410728,4.0,100.0,0.9716,1.7716,1.7716
G02650,126.924583,37.395413,3.0,60.0,1.0,1.6,1.6
G02208,126.92006,37.390007,3.0,60.0,1.0,1.6,1.6
G02725,126.926844,37.396314,3.0,60.0,1.0,1.6,1.6
G02520,126.942675,37.393611,3.0,60.0,1.0,1.6,1.6
G03705,126.961899,37.408025,3.0,60.0,1.0,1.6,1.6
G03512,126.908752,37.406224,3.0,60.0,1.0,1.6,1.6
G03694,126.94946,37.408025,3.0,60.0,1.0,1.6,1.6
G03204,126.973207,37.401719,3.0,60.0,1.0,1.6,1.6
G03815,126.92119,37.409827,3.0,60.0,1.0,1.6,1.6
G02519,126.941545,37.393611,3.0,60.0,1.0,1.6,1.6
G02740,126.943806,37.396314,3.0,60.0,1.0,1.6,1.6
G04028,126.914406,37.41253,3.0,60.0,1.0,1.6,1.6
G03876,126.907621,37.410728,3.0,60.0,1.0,1.6,1.6
G03877,126.908752,37.410728,3.0,60.0,1.0,1.6,1.6
G03620,126.948329,37.407125,3.0,60.0,1.0,1.6,1.6
G03784,126.968684,37.408926,3.0,60.0,1.0,1.6,1.6
G03840,126.94946,37.409827,3.0,60.0,1.0,1.6,1.6
G03567,126.970945,37.406224,3.0,60.0,1.0,1.6,1.6
G03494,126.970945,37.405323,3.0,60.0,1.0,1.6,1.6
G02153,126.940414,37.389107,3.0,60.0,1.0,1.6,1.6
G02447,126.942675,37.39271,3.0,60.0,1.0,1.6,1.6
G02374,126.942675,37.391809,3.0,60.0,1.0,1.6,1.6
G04396,126.917798,37.417035,3.0,60.0,1.0,1.6,1.6
G03033,126.944937,37.399917,3.0,60.0,1.0,1.6,1.6
G03597,126.922321,37.407125,3.0,60.0,1.0,1.6,1.6
G03452,126.923452,37.405323,3.0,60.0,1.0,1.6,1.6
G03252,126.944937,37.40262,3.0,60.0,1.0,1.6,1.6
G03804,126.908752,37.409827,3.0,60.0,1.0,1.6,1.6
G03021,126.931368,37.399917,3.0,60.0,1.0,1.6,1.6
G02375,126.943806,37.391809,3.0,60.0,1.0,1.6,1.6
G03542,126.942675,37.406224,3.0,60.0,1.0,1.6,1.6
G03323,126.942675,37.403521,3.0,60.0,1.0,1.6,1.6
G03914,126.950591,37.410728,3.0,60.0,0.9935,1.5935,1.5935
G03304,126.92119,37.403521,3.0,60.0,0.9899,1.5899,1.5899
G03806,126.911013,37.409827,3.0,60.0,0.9872,1.5872,1.5872
G03251,126.943806,37.40262,4.0,100.0,0.787,1.587,1.587
G01681,126.901967,37.383701,4.0,100.0,0.7847,1.5847,1.5847
G03470,126.943806,37.405323,3.0,60.0,0.9556,1.5556,1.5556
G03740,126.918929,37.408926,3.0,60.0,0.9299,1.5299,1.5299
G02907,126.967553,37.398116,4.0,100.0,0.7067,1.5067,1.5067
G02739,126.942675,37.396314,3.0,60.0,0.8718,1.4718,1.4718
G02760,126.966422,37.396314,3.0,60.0,0.8702,1.4702,1.4702
G00918,126.947199,37.373791,3.0,60.0,0.8697,1.4697,1.4697
G01349,126.939283,37.379197,4.0,100.0,0.669,1.469,1.469
G02726,126.927975,37.396314,3.0,60.0,0.8669,1.4669,1.4669
G03616,126.943806,37.407125,3.0,60.0,0.8439,1.4439,1.4439
G03548,126.94946,37.406224,3.0,60.0,0.8433,1.4433,1.4433
G02232,126.947199,37.390007,4.0,100.0,0.6374,1.4374,1.4374
G03448,126.918929,37.405323,3.0,60.0,0.8369,1.4369,1.4369
G02518,126.940414,37.393611,3.0,60.0,0.8223,1.4223,1.4223
G03376,126.92006,37.404422,3.0,60.0,0.8168,1.4168,1.4168
G01757,126.905359,37.384602,3.0,60.0,0.8026,1.4026,1.4026
G02894,126.952853,37.398116,2.0,40.0,1.0,1.4,1.4
G02893,126.951722,37.398116,2.0,40.0,1.0,1.4,1.4
G03780,126.964161,37.408926,2.0,40.0,1.0,1.4,1.4
G03185,126.951722,37.401719,2.0,40.0,1.0,1.4,1.4
G02603,126.953983,37.394512,2.0,40.0,1.0,1.4,1.4
G02890,126.948329,37.398116,2.0,40.0,1.0,1.4,1.4
G03566,126.969814,37.406224,2.0,40.0,1.0,1.4,1.4
G02889,126.947199,37.398116,2.0,40.0,1.0,1.4,1.4
G03669,126.92119,37.408025,2.0,40.0,1.0,1.4,1.4
G02591,126.940414,37.394512,2.0,40.0,1.0,1.4,1.4
G02593,126.942675,37.394512,2.0,40.0,1.0,1.4,1.4
G03950,126.908752,37.411629,2.0,40.0,1.0,1.4,1.4
G02535,126.959637,37.393611,2.0,40.0,1.0,1.4,1.4
G02608,126.959637,37.394512,2.0,40.0,1.0,1.4,1.4
G02609,126.960768,37.394512,2.0,40.0,1.0,1.4,1.4
G03670,126.922321,37.408025,2.0,40.0,1.0,1.4,1.4
G03742,126.92119,37.408926,2.0,40.0,1.0,1.4,1.4
G03741,126.92006,37.408926,2.0,40.0,1.0,1.4,1.4
G02162,126.950591,37.389107,2.0,40.0,1.0,1.4,1.4
G03878,126.909883,37.410728,2.0,40.0,1.0,1.4,1.4
G02175,126.965291,37.389107,2.0,40.0,1.0,1.4,1.4
G03805,126.909883,37.409827,2.0,40.0,1.0,1.4,1.4
G02450,126.946068,37.39271,2.0,40.0,1.0,1.4,1.4
G02449,126.944937,37.39271,2.0,40.0,1.0,1.4,1.4
G02325,126.969814,37.390908,2.0,40.0,1.0,1.4,1.4
G03043,126.956245,37.399917,2.0,40.0,1.0,1.4,1.4
G02448,126.943806,37.39271,2.0,40.0,1.0,1.4,1.4
