순위,격자ID,중심경도,중심위도,등급,등급설명,대표침수심(cm),침수면적비,침수노출지수,우선조사지수
1,G02949,126.932498,37.399016,N334,가장 깊은 침수 예상 구간,150.0,1.0,2.0,2.0
2,G02446,126.941545,37.39271,N333,매우 깊은 침수 예상 구간,100.0,1.0,1.8,1.8
3,G02878,126.93476,37.398116,N333,매우 깊은 침수 예상 구간,100.0,1.0,1.8,1.8
4,G02904,126.964161,37.398116,N333,매우 깊은 침수 예상 구간,100.0,1.0,1.8,1.8
5,G02948,126.931368,37.399016,N333,매우 깊은 침수 예상 구간,100.0,1.0,1.8,1.8
6,G02977,126.964161,37.399016,N333,매우 깊은 침수 예상 구간,100.0,1.0,1.8,1.8
7,G03022,126.932498,37.399917,N333,매우 깊은 침수 예상 구간,100.0,1.0,1.8,1.8
8,G03250,126.942675,37.40262,N333,매우 깊은 침수 예상 구간,100.0,1.0,1.8,1.8
9,G03324,126.943806,37.403521,N333,매우 깊은 침수 예상 구간,100.0,1.0,1.8,1.8
10,G03621,126.94946,37.407125,N333,매우 깊은 침수 예상 구간,100.0,1.0,1.8,1.8
